FunctionalLoc,resources_id,id
1800-1811-B1H1-P110-P112 P112 REACTOR TRANSFER PUMP HINCO P110,7,199
1800-1811-B1H1-P110-P111 P111 REACTOR TRANSFER PUMP HINCO P110,7,200
1800-1811-B2L2-P240-V244-LS01 LS01 LEVEL SWITCH TANKI V244,6,201
1800-1811-B2L2-P240-V243-LS01 LS01 LEVEL SWITCH TANKI V243,6,202
1800-1811-B2L2-P240-V242-LS01 LS01 LEVEL SWITCH TANKI V242,6,203
1800-1811-B2L2-P240-V241-LS01 LS01 LEVEL SWITCH TANKI V241,6,204
1800-1811-A1F1-L1EX LOGISTIC & EXPEDITION,9,205
1800-1811-B2L2-P240-V244-LG01 LG01 LEVEL GAUGE TANKI V244,6,206
1800-1811-B2L2-P240-V243-LG01 LG01 LEVEL GAUGE TANKI V243,6,207
1800-1811-B2L2-P240-V242-LG01 LG01 LEVEL GAUGE TANKI V242,6,208
1800-1811-B2L2-P240-V241-LG01 LG01 LEVEL GAUGE TANKI V241,6,209
1800-1811-B2L2-P230-V234-LG01 LG01 LEVEL GAUGE TANKI V234,6,210
1800-1811-B2L2-P230-V233-LG01 LG01 LEVEL GAUGE TANKI V233,6,211
1800-1811-B2L2-P230-V232-LG01 LG01 LEVEL GAUGE TANKI V232,6,212
1800-1811-B2L2-P230-V231-LG01 LG01 LEVEL GAUGE TANKI V231,6,213
1800-1811-B2L2-P220-V222-LG01 LG01 LEVEL GAUGE TANKI V222,6,214
1800-1811-B2L2-P220-V221-LG01 LG01 LEVEL GAUGE TANKI V221,6,215
1800-1811-A1F1-L1QC LABORATORIUM QC & QA,10,216
1800-1811-B1H1-P110 HINCO PROCESS AREA REACTOR P110,7,217
1800-1811-B1H1-P210 HINCO PROCESS AREA REACTION POND P210,7,218
1800-1811-B1H1-P120 HINCO PROCESS AREA FILTRATION P120,7,219
1800-1811-B1H1-P230 HINCO AREA SCRUBBER P230,7,220
1800-1811-B2L2-P210-H213 H213 HOPPER PACV P210,6,221
1800-1811-B2L2-P210-H212 H212 HOPPER PACV P210,6,222
1800-1811-B2L2-P210-H211 H211 HOPPER PACV P210,6,223
1800-1811-C6S1 GUDANG SPARE PART,11,224
1800-1811-C3R1 GUDANG RAW MATERIAL,12,225
1800-1811-C4G1 GUDANG POWDER DAN PACKAGING,4,226
